C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.482995	0.247946	-1.340111	1.295367	-1.016638	-0.544917	-0.223571	1.239885	-1.337678	1.112311	0.487658	0.249366	-1.345044	1.358135	-1.086936	-0.543423	-0.228733	1.248501	-1.374642	1.148052	-0.156732	0.001280	0.015633	0.092329	0.265655	0.014284	0.036092	-0.201847	-0.145022	-0.020852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.480681	0.248152	-1.338961	1.296993	-1.013911	-0.544698	-0.222847	1.237271	-1.339552	1.113467	0.485935	0.249404	-1.344911	1.360448	-1.081938	-0.543478	-0.228486	1.245330	-1.377491	1.148229	-0.137810	0.004781	0.012032	0.183715	0.368549	-0.047426	0.001283	-0.145812	-0.206432	0.011873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.478185	0.247887	-1.338447	1.299879	-1.010647	-0.544366	-0.222076	1.235380	-1.341167	1.114445	0.484330	0.249404	-1.344788	1.362631	-1.077836	-0.543489	-0.228032	1.241715	-1.380169	1.148362	-0.114980	-0.020460	0.036100	0.123060	0.211337	-0.060577	0.030372	-0.216980	-0.160229	0.022125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.475868	0.247626	-1.337419	1.300841	-1.009480	-0.544665	-0.221036	1.232854	-1.341931	1.117162	0.482919	0.249404	-1.344521	1.365515	-1.074375	-0.543491	-0.227457	1.238181	-1.383225	1.148631	-0.077801	-0.019494	-0.017328	0.190277	0.192126	-0.061892	0.014669	-0.234566	-0.225401	-0.018725	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.474832	0.246603	-1.336083	1.301401	-1.004183	-0.545223	-0.221128	1.230724	-1.344452	1.114457	0.481328	0.249412	-1.344055	1.367861	-1.071598	-0.543492	-0.226995	1.234663	-1.385484	1.149096	-0.224137	0.000377	0.026184	0.190020	0.130881	-0.034106	0.053811	-0.334034	-0.245877	0.026045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.474528	0.245795	-1.334722	1.303249	-0.998378	-0.545955	-0.221986	1.228704	-1.345705	1.111519	0.478465	0.249397	-1.343090	1.369881	-1.069032	-0.543516	-0.226135	1.231633	-1.388771	1.149553	-0.214344	-0.011594	0.009598	0.165567	0.149184	-0.006900	0.051910	-0.263719	-0.202559	0.006094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.473437	0.245574	-1.333485	1.304367	-0.997433	-0.546482	-0.222648	1.227162	-1.346460	1.113996	0.475833	0.249386	-1.342242	1.371715	-1.066628	-0.543618	-0.225276	1.229015	-1.391440	1.149596	-0.154040	-0.010465	0.028877	0.145673	0.196379	-0.053035	0.058699	-0.162468	-0.292447	-0.020328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.471325	0.245525	-1.332375	1.305259	-0.999650	-0.546747	-0.222293	1.226941	-1.348144	1.119883	0.473198	0.249368	-1.341613	1.374432	-1.062367	-0.543662	-0.224482	1.226529	-1.394954	1.149726	-0.193375	-0.003373	0.051743	0.077381	0.333705	-0.043689	0.026808	-0.096508	-0.252581	0.018905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.469302	0.244598	-1.330914	1.305361	-0.998923	-0.546980	-0.221607	1.227579	-1.351410	1.122590	0.470732	0.249364	-1.341075	1.376721	-1.059430	-0.543671	-0.223896	1.225111	-1.397402	1.150260	-0.197309	0.005479	0.047050	0.081020	0.148528	-0.053224	0.039904	-0.128298	-0.182292	0.043766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.467601	0.243905	-1.329132	1.306049	-0.994800	-0.547231	-0.220962	1.227457	-1.353912	1.122571	0.468131	0.249315	-1.340531	1.378632	-1.057098	-0.543673	-0.223407	1.224221	-1.399976	1.151167	-0.180254	-0.004105	-0.016233	0.172115	0.130011	-0.050688	0.035397	-0.100071	-0.105470	0.018335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
